,network,station,channel,P,Pg,Pn,S,Sg,Sn,P_weight,Pg_weight,Pn_weight,S_weight,Sg_weight,Sn_weight,origin_time,origin_time_uncertainty,origin_latitude,origin_latitude_uncertainty,origin_longitude,origin_longitude_uncertainty,depth,depth_uncertainty,origin_ID,distance,azimuth,takeoff_angle
0,IM,KK31,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,146.937,106.024,5.0
1,AE,X16A,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,104.473,320.624,13.4
2,IM,GEC2A,HH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,127.12,54.1809,5.7
3,KZ,ABKAR,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,146.887,88.4745,5.0
4,IM,TOA1,BH,2013-07-23T00:36:18.810000Z,-1,-1,-1,-1,-1,0.192,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,90.9825,62.4167,14.0
5,IM,ARA0,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,146.305,39.6651,5.1
6,GE,SNAA,BH,2013-07-23T00:28:25.820000Z,-1,-1,-1,-1,-1,0.448,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,23.7106,136.652,28.5
7,IU,QSPA,BH,2013-07-23T00:28:55.630000Z,-1,-1,-1,-1,-1,0.085,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,27.0158,180.074,28.0
8,KZ,KKAR,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,146.937,106.024,5.0
9,GR,GEC2,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,127.12,54.1809,5.7
10,FB,YKR8,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,131.071,331.248,5.7
11,IU,PMSA,BH,-1,-1,-1,-1,-1,2013-07-23T00:24:03.210000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,1.58948,186.614,50.3
12,AK,SWD,BH,-1,-1,-1,-1,-1,2013-07-23T01:13:41.210000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.03,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.47277,242.986,50.4
13,AK,PPLA,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:26.940000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.008,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.29877,312.011,50.3
14,AK,PIN,BH,-1,-1,2013-07-23T01:13:49.440000Z,-1,-1,2013-07-23T01:14:28.980000Z,-1.0,-1.0,0.021,-1.0,-1.0,0.014,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.33572,99.2936,50.3
15,IR,SGAM,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.85426,109.622,80.8
16,AK,RND,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:15.770000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.012,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.7863,340.883,50.3
17,IR,PS12,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.06545,49.5477,46.0
18,AK,RAG,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.14094,110.227,50.4
19,AK,BRLK,BH,-1,-1,2013-07-23T01:13:34.120000Z,-1,-1,2013-07-23T01:14:01.100000Z,-1.0,-1.0,0.021,-1.0,-1.0,0.018,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.28468,244.441,46.0
20,AK,EYAK,BH,-1,2013-07-23T01:13:09.520000Z,-1,-1,2013-07-23T01:13:17.250000Z,-1,-1.0,0.0,-1.0,-1.0,0.056,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.588497,114.576,78.3
21,AK,MLY,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:58.850000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.006,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,4.60913,338.897,50.3
22,US,EGAK,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,4.76818,30.6414,46.0
23,AK,MCK,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:21.630000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.011,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.10567,342.449,50.3
24,AK,SAW,BH,-1,-1,-1,-1,-1,2013-07-23T01:13:36.870000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.026,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.24531,325.145,50.4
25,AV,RDJH,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.94478,268.575,46.0
26,AK,HMT,BH,-1,-1,-1,-1,-1,2013-07-23T01:13:40.100000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.04,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.35158,108.931,50.4
27,AT,SVW2,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,4.29724,278.0,46.0
28,IR,BRSE,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.20467,241.897,46.0
29,AV,RED,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.95392,265.244,46.0
30,AK,KTH,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:28.850000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.008,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.36534,327.04,50.3
31,IR,CRQM,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.8128,89.6658,46.0
32,AT,PMR,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.36933,306.648,50.4
33,IR,PS11,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.44334,26.3282,50.4
34,IR,SNH,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.07205,105.637,46.0
35,AK,FID,BH,-1,-1,-1,-1,2013-07-23T01:13:05.350000Z,-1,-1.0,-1.0,-1.0,-1.0,0.06,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.134414,121.055,42.4
36,AK,RC01,BH,-1,-1,2013-07-23T01:13:22.860000Z,-1,-1,2013-07-23T01:13:41.740000Z,-1.0,-1.0,0.017,-1.0,-1.0,0.02,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.44846,282.939,46.0
37,AK,SCM,BH,-1,-1,-1,-1,2013-07-23T01:13:32.750000Z,-1,-1.0,-1.0,-1.0,-1.0,0.033,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.06689,347.239,82.1
38,AK,GLI,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.152922,302.759,47.0
39,AK,PAX,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:02.460000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.021,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.27445,15.8932,50.4
40,AK,BPAW,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:40.240000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.007,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.83529,331.601,50.3
41,CN,HYT,HH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,4.56933,85.5743,46.0
42,AK,CNP,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:07.710000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.016,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.54479,241.834,50.3
43,IM,IL31,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.98996,359.67,46.0
44,AK,HDA,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:36.010000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.01,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.62644,359.212,50.3
45,IR,JPK,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.283435,23.8077,62.8
46,IR,VMT,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.366309,38.1626,66.4
47,AK,TGL,BH,-1,-1,-1,-1,-1,2013-07-23T01:13:55.260000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.026,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.96476,89.5106,50.4
48,AK,WRH,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:38.650000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.009,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.73409,351.597,50.3
49,AK,DOT,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:22.070000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.014,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.14049,23.1221,50.3
50,AV,RSO,EH,-1,-1,-1,-1,-1,2013-07-23T01:14:17.960000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.01,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.93813,266.012,50.3
51,AK,SCRK,BH,-1,-1,2013-07-23T01:13:51.520000Z,-1,-1,2013-07-23T01:14:31.220000Z,-1.0,-1.0,0.019,-1.0,-1.0,0.012,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.45514,21.2993,50.3
52,AK,DHY,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:03.860000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.018,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.30115,353.833,50.4
53,AT,MENT,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:09.390000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.019,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.60627,33.1136,50.3
54,AK,CCB,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:42.040000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.009,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.8894,353.831,50.3
55,AV,SPWE,EH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.82804,282.216,46.0
56,AV,SPCG,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.57303,283.376,46.0
57,AK,CRQ,BH,-1,-1,-1,-1,-1,2013-07-23T01:13:51.330000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.028,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.83588,89.7671,50.4
58,AV,CGL,EH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.56894,283.748,46.0
59,AV,CKL,EH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.71252,280.833,46.0
60,IR,FID,SH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.180013,105.035,51.4
61,AK,RIDG,BH,-1,-1,-1,-1,-1,2013-07-23T01:14:22.410000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.014,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.09714,16.6027,50.3
62,AK,KNK,BH,-1,-1,-1,-1,2013-07-23T01:13:30.040000Z,-1,-1.0,-1.0,-1.0,-1.0,0.02,-1.0,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.00275,308.776,81.7
63,TW,TPUB,BH,2013-07-23T01:50:53.610000Z,-1,-1,-1,-1,-1,0.011,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,19.3508,343.221,52.9
64,MY,SBM,BH,2013-07-23T01:50:01.310000Z,-1,-1,-1,-1,-1,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,14.5347,261.584,54.4
65,MY,IPM,BH,2013-07-23T01:51:56.000000Z,-1,-1,-1,-1,-1,0.028,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,25.4948,270.513,41.5
66,GT,DBIC,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,130.242,282.84,8.0
67,AU,STKA,BH,2013-07-23T01:53:55.670000Z,-1,-1,-1,-1,-1,0.03,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,39.0961,159.569,37.6
68,KZ,KKAR,BH,2013-07-23T01:56:49.700000Z,-1,-1,-1,-1,-1,0.019,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,62.426,316.72,29.2
69,HV,BYL,HH,2013-07-23T01:58:18.680000Z,-1,-1,-1,-1,-1,0.04,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,77.2692,71.234,24.2
70,GO,AKH,HH,2013-07-23T01:58:47.250000Z,-1,-1,-1,-1,-1,0.018,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,81.7312,311.03,22.6
71,MY,KSM,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,16.5846,259.305,65.3
72,TJ,GARM,HH,2013-07-23T01:56:41.730000Z,-1,-1,-1,-1,-1,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,61.1648,312.291,29.7
73,NZ,LBZ,HH,2013-07-23T01:56:48.240000Z,-1,-1,-1,-1,-1,0.036,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,62.572,146.149,29.2
74,II,RAYN,BH,2013-07-23T01:58:35.820000Z,-1,-1,-1,-1,-1,0.023,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,79.9798,292.97,23.2
75,II,ARU,BH,2013-07-23T01:58:01.860000Z,-1,-1,-1,-1,-1,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,74.0362,327.607,25.2
76,AU,WC3,BH,2013-07-23T01:51:58.710000Z,-1,-1,-1,-1,-1,0.024,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,25.6873,162.936,41.5
77,GE,FAKI,BH,-1,-1,-1,-1,-1,2013-07-23T01:50:31.930000Z,-1.0,-1.0,-1.0,-1.0,-1.0,0.033,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,9.45669,143.263,86.2
78,AK,HDA,BH,2013-07-23T01:58:58.840000Z,-1,-1,-1,-1,-1,0.024,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,84.2354,25.8159,21.8
79,JP,JOW,BH,2013-07-23T01:51:22.480000Z,-1,-1,-1,-1,-1,0.016,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,22.0497,3.97844,50.9
80,IU,GUMO,BH,2013-07-23T01:51:02.080000Z,-1,-1,-1,-1,-1,0.031,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,20.0554,62.7104,52.5
81,DK,TULEG,BH,2013-07-23T02:00:00.790000Z,-1,-1,-1,-1,-1,0.007,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,98.3731,3.6092,19.1
82,KZ,AKTO,BH,2013-07-23T01:57:54.830000Z,-1,-1,-1,-1,-1,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,72.8089,321.465,25.7
83,NZ,OXZ,HH,2013-07-23T01:56:54.080000Z,-1,-1,-1,-1,-1,0.037,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,62.9697,144.278,29.0
84,IM,FIA0,SH,2013-07-23T01:59:29.570000Z,-1,-1,-1,-1,-1,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,90.904,331.82,19.9
85,AK,CCB,BH,2013-07-23T01:58:56.860000Z,-1,-1,-1,-1,-1,0.024,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,83.8721,25.5671,21.9
86,NZ,WKZ,HH,2013-07-23T01:56:49.540000Z,-1,-1,-1,-1,-1,0.036,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,62.2159,147.135,29.3
87,TW,SSLB,BH,2013-07-23T01:50:57.110000Z,-1,-1,-1,-1,-1,0.011,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,19.7231,344.508,52.7
88,GE,UGM,BH,2013-07-23T01:51:06.310000Z,-1,-1,-1,-1,-1,0.029,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,20.3663,232.035,52.2
89,AU,PSAD1,BH,2013-07-23T01:52:09.220000Z,-1,-1,-1,-1,-1,0.028,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,26.8472,194.079,41.1
90,IM,TOA1,BH,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,122.488,288.789,8.1
91,IM,GYA0B,BH,2013-07-23T01:57:40.950000Z,-1,-1,-1,-1,-1,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,70.1789,308.574,26.6
92,JP,YOJ,BH,2013-07-23T01:51:01.970000Z,-1,-1,-1,-1,-1,0.012,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,19.9348,350.365,52.5
93,KR,KDJ,BH,2013-07-23T01:56:15.810000Z,-1,-1,-1,-1,-1,0.019,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,57.5234,317.959,30.9
94,AU,PSA00,BH,2013-07-23T01:52:10.690000Z,-1,-1,-1,-1,-1,0.028,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,26.9566,193.98,41.1
95,AU,MORW,BH,2013-07-23T01:53:21.180000Z,-1,-1,-1,-1,-1,0.031,-1.0,-1.0,-1.0,-1.0,-1.0,2013-07-23T01:46:34.630000Z,2.08,4.7209,0.0522,126.6019,0.052,73710.0,5600.0,b000ikg9,35.0954,196.209,39.0
